Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,4,0.31,0.31,0.49411827582440593
100% Corpus,4,0.31,0.61,0.5071071475488617
100% Corpus,4,0.31,0.9099999999999999,0.4949125410090478
100% Corpus,4,0.31,symmetric,0.4943286852698321
100% Corpus,4,0.61,0.01,0.5060495834845667
100% Corpus,4,0.61,0.31,0.5125503287064404
100% Corpus,4,0.61,0.61,0.5072709786075797
100% Corpus,4,0.61,0.9099999999999999,0.499835751255332
100% Corpus,4,0.61,symmetric,0.5037380599689031
100% Corpus,4,0.9099999999999999,0.01,0.5162007769530752
100% Corpus,4,0.9099999999999999,0.31,0.5070418716683149
100% Corpus,4,0.9099999999999999,0.61,0.5072709786075796
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.499835751255332
100% Corpus,4,0.9099999999999999,symmetric,0.5037380599689031
100% Corpus,4,symmetric,0.01,0.49580803435153936
100% Corpus,4,symmetric,0.31,0.5015253628252472
100% Corpus,4,symmetric,0.61,0.5071071475488617
100% Corpus,4,symmetric,0.9099999999999999,0.4949125410090478
100% Corpus,4,symmetric,symmetric,0.49601690578712193
100% Corpus,4,asymmetric,0.01,0.5013164913896647
100% Corpus,4,asymmetric,0.31,0.5015253628252473
100% Corpus,4,asymmetric,0.61,0.5059774389451557
100% Corpus,4,asymmetric,0.9099999999999999,0.5014081779089717
100% Corpus,4,asymmetric,symmetric,0.49113175174737045
100% Corpus,5,0.01,0.01,0.4938758945123746
100% Corpus,5,0.01,0.31,0.48774900981731567
100% Corpus,5,0.01,0.61,0.4982344666335612
100% Corpus,5,0.01,0.9099999999999999,0.4993812254878772
100% Corpus,5,0.01,symmetric,0.4922726901754942
100% Corpus,5,0.31,0.01,0.4922726901754942
100% Corpus,5,0.31,0.31,0.4960636995059321
100% Corpus,5,0.31,0.61,0.5011509395443245
100% Corpus,5,0.31,0.9099999999999999,0.5010349918960395
100% Corpus,5,0.31,symmetric,0.4940869076807243
100% Corpus,5,0.61,0.01,0.4902958983502862
100% Corpus,5,0.61,0.31,0.5042643572732526
100% Corpus,5,0.61,0.61,0.5079285252838102
100% Corpus,5,0.61,0.9099999999999999,0.49618136014462905
100% Corpus,5,0.61,symmetric,0.4960636995059321
100% Corpus,5,0.9099999999999999,0.01,0.49408690768072416
100% Corpus,5,0.9099999999999999,0.31,0.5062411490984605
100% Corpus,5,0.9099999999999999,0.61,0.5098235302683708
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.4984190929801843
100% Corpus,5,0.9099999999999999,symmetric,0.49941986029277263
100% Corpus,5,symmetric,0.01,0.4922726901754942
100% Corpus,5,symmetric,0.31,0.4960636995059321
100% Corpus,5,symmetric,0.61,0.5008417838469091
100% Corpus,5,symmetric,0.9099999999999999,0.5010349918960395
100% Corpus,5,symmetric,symmetric,0.4902958983502863
100% Corpus,5,asymmetric,0.01,0.5024501397680227
100% Corpus,5,asymmetric,0.31,0.5015906274204016
100% Corpus,5,asymmetric,0.61,0.4843881792629827
100% Corpus,5,asymmetric,0.9099999999999999,0.4763688260300702
100% Corpus,5,asymmetric,symmetric,0.5041375159533723
100% Corpus,6,0.01,0.01,0.49693433931627706
100% Corpus,6,0.01,0.31,0.4918535899327057
100% Corpus,6,0.01,0.61,0.4913260000051982
100% Corpus,6,0.01,0.9099999999999999,0.4969469492081294
100% Corpus,6,0.01,symmetric,0.4979188072658745
100% Corpus,6,0.31,0.01,0.5011941969242011
100% Corpus,6,0.31,0.31,0.4918535899327057
100% Corpus,6,0.31,0.61,0.49246251286497816
100% Corpus,6,0.31,0.9099999999999999,0.4908219216251362
100% Corpus,6,0.31,symmetric,0.5029230414566257
100% Corpus,6,0.61,0.01,0.49790717096198917
100% Corpus,6,0.61,0.31,0.49461087751612004
100% Corpus,6,0.61,0.61,0.4952198004483925
100% Corpus,6,0.61,0.9099999999999999,0.4950991520445591
100% Corpus,6,0.61,symmetric,0.501991978932165
100% Corpus,6,0.9099999999999999,0.01,0.4979071709619891
100% Corpus,6,0.9099999999999999,0.31,0.5078619119365883
100% Corpus,6,0.9099999999999999,0.61,0.49949703086781533
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.5000496419435615
100% Corpus,6,0.9099999999999999,symmetric,0.5020546371829085
100% Corpus,6,symmetric,0.01,0.49978983759230694
100% Corpus,6,symmetric,0.31,0.49246251286497816
100% Corpus,6,symmetric,0.61,0.49246251286497816
100% Corpus,6,symmetric,0.9099999999999999,0.4908219216251362
100% Corpus,6,symmetric,symmetric,0.4979188072658745
100% Corpus,6,asymmetric,0.01,0.5047202779752255
100% Corpus,6,asymmetric,0.31,0.48885146646100863
100% Corpus,6,asymmetric,0.61,0.4966455885686751
100% Corpus,6,asymmetric,0.9099999999999999,0.48995326789986
100% Corpus,6,asymmetric,symmetric,0.5007748189724334
100% Corpus,7,0.01,0.01,0.4983321778675816
100% Corpus,7,0.01,0.31,0.5085201103993235
100% Corpus,7,0.01,0.61,0.510778516949124
100% Corpus,7,0.01,0.9099999999999999,0.5095706660389624
100% Corpus,7,0.01,symmetric,0.5023939846932446
100% Corpus,7,0.31,0.01,0.5026567980359876
100% Corpus,7,0.31,0.31,0.5064151612849158
100% Corpus,7,0.31,0.61,0.5079781559431729
100% Corpus,7,0.31,0.9099999999999999,0.5045467212184577
100% Corpus,7,0.31,symmetric,0.5003297580508449
100% Corpus,7,0.61,0.01,0.5012371069313314
100% Corpus,7,0.61,0.31,0.5084372578280691
100% Corpus,7,0.61,0.61,0.5113309269431979
100% Corpus,7,0.61,0.9099999999999999,0.5120015371710724
100% Corpus,7,0.61,symmetric,0.5012371069313314
100% Corpus,7,0.9099999999999999,0.01,0.497532919842075
100% Corpus,7,0.9099999999999999,0.31,0.5062737174520925
100% Corpus,7,0.9099999999999999,0.61,0.511400356187807
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.510653161197965
100% Corpus,7,0.9099999999999999,symmetric,0.5012371069313314
100% Corpus,7,symmetric,0.01,0.49758580041025374
100% Corpus,7,symmetric,0.31,0.5016038837508956
100% Corpus,7,symmetric,0.61,0.513567428030275
100% Corpus,7,symmetric,0.9099999999999999,0.5058850036864175
100% Corpus,7,symmetric,symmetric,0.49912602148065
100% Corpus,7,asymmetric,0.01,0.5076118795816614
100% Corpus,7,asymmetric,0.31,0.5086011034736895
100% Corpus,7,asymmetric,0.61,0.5126978821951639
100% Corpus,7,asymmetric,0.9099999999999999,0.5120690291732162
100% Corpus,7,asymmetric,symmetric,0.5091522380055007
100% Corpus,8,0.01,0.01,0.5074029991346563
100% Corpus,8,0.01,0.31,0.5199144108637865
100% Corpus,8,0.01,0.61,0.5252066271597964
100% Corpus,8,0.01,0.9099999999999999,0.5263741681650296
100% Corpus,8,0.01,symmetric,0.5064665633170735
100% Corpus,8,0.31,0.01,0.5221251442169077
100% Corpus,8,0.31,0.31,0.5196164388228368
100% Corpus,8,0.31,0.61,0.5296606185809969
100% Corpus,8,0.31,0.9099999999999999,0.530944845725956
100% Corpus,8,0.31,symmetric,0.5244836049422762
100% Corpus,8,0.61,0.01,0.5255089947071174
100% Corpus,8,0.61,0.31,0.5192030474155779
100% Corpus,8,0.61,0.61,0.5210805400980647
100% Corpus,8,0.61,0.9099999999999999,0.5192483248231176
100% Corpus,8,0.61,symmetric,0.5188207942926157
100% Corpus,8,0.9099999999999999,0.01,0.5233668814984564
100% Corpus,8,0.9099999999999999,0.31,0.5192030474155779
